#options: 748x1290 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=482 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:50.93 aq:35.25 tex:36949 mv:16331 misc:152 imb:3807 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:51.29 aq:41.86 tex:895 mv:1113 misc:832 imb:27 pmb:116 smb:3664 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:51.29 aq:48.41 tex:54 mv:176 misc:330 imb:0 pmb:17 smb:3790 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:51.29 aq:39.00 tex:4 mv:230 misc:350 imb:1 pmb:22 smb:3784 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:51.29 aq:39.00 tex:4 mv:56 misc:292 imb:0 pmb:13 smb:3794 d:- ref:0 ;
in:7 out:5 type:P dur:2 cpbdur:2 q:51.12 aq:34.74 tex:145 mv:66 misc:325 imb:4 pmb:5 smb:3798 d:- ref:0 ;
in:5 out:6 type:B dur:2 cpbdur:2 q:51.23 aq:38.00 tex:0 mv:0 misc:248 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:51.18 aq:38.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3807 d:- ref:0 ;
in:11 out:8 type:P dur:2 cpbdur:2 q:50.93 aq:36.43 tex:839 mv:1043 misc:862 imb:45 pmb:103 smb:3659 d:- ref:0 ;
in:9 out:9 type:B dur:2 cpbdur:2 q:51.02 aq:37.00 tex:2 mv:51 misc:307 imb:0 pmb:13 smb:3794 d:- ref:0 ;
in:8 out:10 type:b dur:2 cpbdur:2 q:51.07 aq:43.89 tex:35 mv:233 misc:372 imb:0 pmb:30 smb:3777 d:- ref:0 ;
