#options: 1080x1920 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=798 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:41.47 aq:38.24 tex:126082 mv:40934 misc:328 imb:8160 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:43.02 aq:40.42 tex:9904 mv:8467 misc:3533 imb:622 pmb:468 smb:7070 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:43.02 aq:42.20 tex:1257 mv:4869 misc:2882 imb:47 pmb:576 smb:7537 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:43.42 aq:41.10 tex:8278 mv:7198 misc:4060 imb:567 pmb:517 smb:7076 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:43.74 aq:42.06 tex:13220 mv:7208 misc:4108 imb:696 pmb:504 smb:6960 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:44.21 aq:42.47 tex:6945 mv:6032 misc:3455 imb:517 pmb:390 smb:7253 d:- ref:0 ;
in:7 out:6 type:P dur:2 cpbdur:2 q:44.48 aq:40.21 tex:10510 mv:8226 misc:4656 imb:1038 pmb:404 smb:6718 d:- ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:44.34 aq:44.30 tex:1487 mv:4362 misc:2839 imb:82 pmb:527 smb:7551 d:- ref:0 ;
in:9 out:8 type:P dur:2 cpbdur:2 q:44.88 aq:43.13 tex:8854 mv:7288 misc:3802 imb:700 pmb:423 smb:7037 d:- ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:44.68 aq:45.11 tex:1673 mv:5125 misc:3034 imb:84 pmb:607 smb:7469 d:- ref:0 ;
in:11 out:10 type:P dur:2 cpbdur:2 q:45.46 aq:42.64 tex:9024 mv:8644 misc:4356 imb:925 pmb:432 smb:6803 d:- ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:45.17 aq:45.66 tex:1728 mv:4750 misc:2682 imb:102 pmb:480 smb:7578 d:- ref:0 ;
in:15 out:12 type:P dur:2 cpbdur:2 q:53.46 aq:50.36 tex:7099 mv:8495 misc:3486 imb:1155 pmb:288 smb:6717 d:- ref:0 ;
in:13 out:13 type:B dur:2 cpbdur:2 q:49.46 aq:47.93 tex:3911 mv:12245 misc:3940 imb:395 pmb:1016 smb:6749 d:- ref:0 ;
